Subtotal,Subtotal
"Grand Total","Total"
"Shipping & Handling","Frete e Manuseio"
Discount,Desconto
"User Admin","Admin do Usuário"
"Tracking Code","Código de Rastreamento"
Add,Adicionar
"Send Email Quote","Enviar Orçamento por Email"
"The PreOrder email has been sent.","O email de Pré-Encomenda foi enviado."
"Error sending PreOrder email. Please try again.","Erro ao enviar o email de Pré-Encomenda. Por favor, tente novamente."
"Pre Orders","Pré-Encomendas"
"Quote not found.","Orçamento não encontrado."
"Error loading PreOrder/Quote: %1","Erro ao carregar Pré-Encomenda/Orçamento: %1"
"Error logging in client: %1","Erro ao fazer login no cliente: %1"
"Error creating new quote: %1","Erro ao criar novo orçamento: %1"
"Error copying client data: %1","Erro ao copiar dados do cliente: %1"
"Error copying cart items: %1","Erro ao copiar itens do carrinho: %1"
"Error copying item %1: %2","Erro ao copiar item %1: %2"
"Error copying addresses and delivery method: %1","Erro ao copiar endereços e método de entrega: %1"
"Error setting up session and cart: %1","Erro ao configurar sessão e carrinho: %1"
"Quote created with some warnings: %1","Orçamento criado com alguns avisos: %1"
"Quote created and loaded successfully.","Orçamento criado e carregado com sucesso."
"The pre-order with the ""%1"" ID doesn't exist.","A pré-encomenda com o ID ""%1"" não existe."
"The pre-order with the hash ""%1"" doesn't exist.","A pré-encomenda com o hash ""%1"" não existe."
"Customer email is not set","Email do cliente não está definido"
"Failed to send email: %1","Falha ao enviar o email: %1"
"Email template is not configured","Template de email não configurado"
"Invalid sender data. Please configure store email settings.","Dados de remetente inválidos. Por favor, configure as configurações de email da loja."
Guest,Convidado
N/A,"Não se Aplica"
"View in Frontend","Visualizar no Frontend"
Items,Itens
Qty,"Quantidade"
Price,"Preço"
SKU,"SKU"
Tax,"Imposto"
"Payment of your budget","Pagamento do seu orçamento"
"Thank you for requesting a quote from %store_name.","Obrigado por solicitar um orçamento de %store_name."
"If you would like to proceed with your order, you may contact customer service.","Se você deseja prosseguir com seu pedido, pode entrar em contato com o atendimento ao cliente."
"If you have questions about your quote, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Se tiver dúvidas sobre seu orçamento, pode nos enviar um email para <a href=""mailto:%store_email"">%store_email</a>."
"Pay In:","Pagar em:"
"Pay Now","Pagar Agora"
"Billing Info","Informações de Cobrança"
"Shipping Info","Informações de Envio"
"Shipping Method","Método de Envio"
O2TI,O2TI
"Pre Order","Pré-Encomenda"
Enabled,"Ativado"
"Force Customer Account Creation","Forçar Criação de Conta de Cliente"
"If enabled, automatically creates customer accounts for guest quotes.","Se ativado, cria automaticamente contas de cliente para orçamentos de convidados."
"Disable Referrer Policy","Desativar Política de Referência"
"If enabled, sets Referrer-Policy to 'no-referrer' for quote operations","Se ativado, define a Política de Referência como 'no-referrer' para operações de orçamento"
"Affiliate Tracking","Rastreamento de Afiliados"
"Email Quote","Orçamento por Email"
"Quote Email Template","Template de Email para Orçamento"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Template de email escolhido com base no fallback do tema quando a opção ""Padrão"" é selecionada."
"Quote Email Template for Guest","Template de Email de Orçamento para Convidado"
"Quote Email Sender","Remetente do Email de Orçamento"
"Send Quote Email Copy To","Enviar Cópia do Email de Orçamento Para"
"Comma-separated","Separado por vírgulas"
"Send Quote Email Copy Method","Método de Cópia do Email de Orçamento"
"Add New Pre Order","Adicionar Nova Pré-Encomenda"
ID,ID
"Customer ID","ID do Cliente"
"Customer Email","Email do Cliente"
"Quote ID","ID do Orçamento"
Hash,Hash
"Admin User","Usuário Admin"
"Created At","Criado Em"
